pdf_name,label_key,year,type,forecast_year,horizon,pred_value,realized_value,error
spa_2021_mars_vor,vlf a verdlagi hvers ars,2022,extrapolation,2021,1,3.362,3.766,-0.4039999999999999
spa_2021_mars_vor,vlf a verdlagi hvers ars,2023,extrapolation,2021,2,3.58,4.321,-0.7409999999999997
spa_2021_mars_vor,vlf a verdlagi hvers ars,2024,extrapolation,2021,3,3.777,4.598,-0.8209999999999997
spa_2021_mars_vor,einkaneysla,2021,forecast,2021,0,3.2,4.4,-1.2000000000000002
spa_2021_mars_vor,einkaneysla,2022,extrapolation,2021,1,2.4,8.3,-5.9
spa_2021_mars_vor,einkaneysla,2023,extrapolation,2021,2,2.4,8.7,-6.299999999999999
spa_2021_mars_vor,einkaneysla,2024,extrapolation,2021,3,2.5,5.9,-3.4000000000000004
spa_2021_mars_vor,gengisvisitala,2021,forecast,2021,0,-0.8,-2.4,1.5999999999999999
spa_2021_mars_vor,gengisvisitala,2022,extrapolation,2021,1,-1.0,-3.0,2.0
spa_2021_mars_vor,gengisvisitala,2023,extrapolation,2021,2,-0.3,2.6,-2.9
spa_2021_mars_vor,gengisvisitala,2024,extrapolation,2021,3,0.0,0.0,0.0
spa_2021_mars_vor,raungengi,2021,forecast,2021,0,2.9,3.9,-1.0
spa_2021_mars_vor,raungengi,2022,extrapolation,2021,1,2.1,3.9,-1.7999999999999998
spa_2021_mars_vor,raungengi,2023,extrapolation,2021,2,1.0,0.9,0.09999999999999998
spa_2021_mars_vor,raungengi,2024,extrapolation,2021,3,0.7,3.3,-2.5999999999999996
spa_2021_mars_vor,atvinnuleysi,2021,forecast,2021,0,7.8,6.0,1.7999999999999998
spa_2021_mars_vor,atvinnuleysi,2022,extrapolation,2021,1,6.4,3.8,2.6000000000000005
spa_2021_mars_vor,atvinnuleysi,2023,extrapolation,2021,2,5.4,3.4,2.0000000000000004
spa_2021_mars_vor,atvinnuleysi,2024,extrapolation,2021,3,4.9,3.4,1.5000000000000004
spa_2021_mars_vor,launavisitala m.v. fast verdlag,2021,forecast,2021,0,3.8,3.7,0.09999999999999964
spa_2021_mars_vor,launavisitala m.v. fast verdlag,2022,extrapolation,2021,1,2.9,0.0,2.9
spa_2021_mars_vor,launavisitala m.v. fast verdlag,2023,extrapolation,2021,2,1.8,0.9,0.9
spa_2021_mars_vor,launavisitala m.v. fast verdlag,2024,extrapolation,2021,3,1.7,0.7,1.0
spa_2021_mars_vor,hagvoxtur i helstu vidskiptalondum,2021,forecast,2021,0,1.0,5.7,-4.7
spa_2021_mars_vor,hagvoxtur i helstu vidskiptalondum,2022,extrapolation,2021,1,1.3,3.1,-1.8
spa_2021_mars_vor,hagvoxtur i helstu vidskiptalondum,2023,extrapolation,2021,2,1.7,1.2,0.5
spa_2021_mars_vor,hagvoxtur i helstu vidskiptalondum,2024,extrapolation,2021,3,1.8,1.5,0.30000000000000004
spa_2021_mars_vor,verd utflutts als,2021,forecast,2021,0,22.2,44.0,-21.8
spa_2021_mars_vor,verd utflutts als,2022,extrapolation,2021,1,1.9,31.4,-29.5
spa_2021_mars_vor,verd utflutts als,2023,extrapolation,2021,2,2.1,-22.6,24.700000000000003
spa_2021_mars_vor,verd utflutts als,2024,extrapolation,2021,3,2.3,2.8,-0.5
spa_2021_mars_vor,oliuverd,2021,forecast,2021,0,42.0,63.7,-21.700000000000003
spa_2021_mars_vor,oliuverd,2022,extrapolation,2021,1,-2.2,39.8,-42.0
spa_2021_mars_vor,oliuverd,2023,extrapolation,2021,2,-0.9,-16.9,15.999999999999998
spa_2021_mars_vor,oliuverd,2024,extrapolation,2021,3,0.0,-1.4,1.4
spa_2021_november_vetur_haust,verg landsframleidsla,2021,forecast,2021,0,3.8,7.7,-3.9000000000000004
spa_2021_november_vetur_haust,verg landsframleidsla,2022,extrapolation,2021,1,4.9,8.6,-3.6999999999999993
spa_2021_november_vetur_haust,verg landsframleidsla,2023,extrapolation,2021,2,3.2,0.5,2.7
spa_2021_november_vetur_haust,verg landsframleidsla,2024,extrapolation,2021,3,2.7,0.8,1.9000000000000001
spa_2021_november_vetur_haust,samneysla,2021,forecast,2021,0,2.4,2.2,0.19999999999999973
spa_2021_november_vetur_haust,samneysla,2022,extrapolation,2021,1,1.3,1.6,-0.30000000000000004
spa_2021_november_vetur_haust,samneysla,2023,extrapolation,2021,2,1.2,1.8,-0.6000000000000001
spa_2021_november_vetur_haust,samneysla,2024,extrapolation,2021,3,0.9,2.1,-1.2000000000000002
spa_2021_november_vetur_haust,fjarmunamyndun,2021,forecast,2021,0,11.9,12.3,-0.40000000000000036
spa_2021_november_vetur_haust,fjarmunamyndun,2022,extrapolation,2021,1,-3.2,6.9,-10.100000000000001
spa_2021_november_vetur_haust,fjarmunamyndun,2023,extrapolation,2021,2,4.7,1.6,3.1
spa_2021_november_vetur_haust,fjarmunamyndun,2024,extrapolation,2021,3,1.5,7.7,-6.2
spa_2021_november_vetur_haust,atvinnuvegafjarfesting,2021,forecast,2021,0,19.4,19.1,0.29999999999999716
spa_2021_november_vetur_haust,atvinnuvegafjarfesting,2022,extrapolation,2021,1,-6.9,15.2,-22.1
spa_2021_november_vetur_haust,atvinnuvegafjarfesting,2023,extrapolation,2021,2,4.8,3.6,1.1999999999999997
spa_2021_november_vetur_haust,atvinnuvegafjarfesting,2024,extrapolation,2021,3,3.1,7.0,-3.9
