label_key,horizon,n,mae,rmse,bias,p50,p95
samneysla,4,25,1.248,1.5323185047502363,-1.016,1.0999999999999999,2.7
samneysla,5,19,0.9789473684210527,1.305857250198021,-0.6315789473684211,0.6000000000000001,2.249999999999999
samneysla,6,3,0.06666666666666672,0.11547005383792526,-0.06666666666666672,0.0,0.18000000000000013
thjodarutgjold alls,0,35,1.1685714285714286,1.5636038957668095,-0.35714285714285715,0.8999999999999999,2.9599999999999995
thjodarutgjold alls,1,32,2.29375,2.7244265451650556,0.06875000000000003,2.4,5.025
thjodarutgjold alls,2,30,2.893333333333333,3.238518179661803,-0.6466666666666666,3.15,4.964999999999999
thjodarutgjold alls,3,28,3.6357142857142857,4.078077278045904,-1.9214285714285713,3.95,6.465
thjodarutgjold alls,4,25,3.428,3.887878598927698,-1.9639999999999997,3.3000000000000003,6.259999999999999
thjodarutgjold alls,5,19,2.768421052631579,3.215095971392325,-2.2842105263157895,3.2,5.379999999999998
thjodarutgjold alls,6,3,1.9333333333333333,2.340939982143925,-0.6000000000000002,1.0,3.52
utflutningur voru og thjonustu,0,35,2.274285714285714,2.832363979838346,-0.12571428571428567,2.000000000000001,5.089999999999999
utflutningur voru og thjonustu,1,32,6.4281250000000005,10.781016301814965,2.421875,3.8500000000000005,32.214999999999996
utflutningur voru og thjonustu,2,30,7.583333333333333,10.752007564481467,-0.13000000000000025,6.6499999999999995,23.61999999999994
utflutningur voru og thjonustu,3,28,9.421428571428573,13.576476504812074,0.6714285714285712,7.0,33.495
utflutningur voru og thjonustu,4,25,8.607999999999999,12.109533434447423,-0.44,7.2,29.999999999999957
utflutningur voru og thjonustu,5,19,6.863157894736842,8.828840300550894,-5.021052631578947,4.8,18.110000000000003
utflutningur voru og thjonustu,6,3,8.833333333333334,11.003181358134565,-5.766666666666667,4.6,16.75
verd utflutts als,0,35,5.420000000000001,8.669931619437046,-1.3685714285714288,2.5,18.84
verd utflutts als,1,32,9.3375,14.28206917781874,-2.78125,6.35,32.739999999999995
verd utflutts als,2,30,12.373333333333333,17.76672920564353,-4.086666666666667,11.4,40.339999999999996
verd utflutts als,3,28,13.957142857142857,18.68800226272002,-4.414285714285714,12.1,37.65999999999998
verd utflutts als,4,25,15.74,20.52996833899166,-6.172,12.1,41.9
verd utflutts als,5,19,16.51578947368421,21.324954494922757,-10.83157894736842,17.8,42.0
verd utflutts als,6,3,18.400000000000002,22.178518135048307,-1.9333333333333318,24.700000000000003,28.93
verg landsframleidsla,0,35,1.197142857142857,1.7403612104552157,-0.22000000000000003,0.8,4.049999999999999
verg landsframleidsla,1,32,2.059375,2.6378850429842466,0.25312500000000004,1.65,5.58
verg landsframleidsla,2,30,2.893333333333333,3.4179916130187715,-0.6066666666666667,2.5,5.729999999999998
verg landsframleidsla,3,28,3.3428571428571425,3.865229618017538,-1.0857142857142856,3.0999999999999996,6.0
verg landsframleidsla,4,25,3.364,3.807098632817385,-1.6119999999999999,3.9999999999999996,5.859999999999999
verg landsframleidsla,5,19,3.547368421052632,3.959133344825009,-2.568421052631579,4.3999999999999995,6.1
verg landsframleidsla,6,3,3.266666666666666,3.8340579025361623,-0.7999999999999998,2.0,5.6899999999999995
vidskiptajofnudur,0,35,3.22,4.637209752180106,-0.32285714285714295,2.5,9.229999999999992
vidskiptajofnudur,1,32,4.028125,5.159427051524228,-1.2968749999999998,3.8999999999999995,8.554999999999998
vidskiptajofnudur,2,30,4.01,5.092576296270222,-2.0766666666666667,2.8000000000000007,9.155
vidskiptajofnudur,3,28,4.785714285714286,5.812425114724982,-1.8,3.75,11.065
vidskiptajofnudur,4,25,5.196000000000001,6.231629000510219,-2.076,4.4,12.23999999999999
vidskiptajofnudur,5,19,5.089473684210526,5.810924376143881,-1.0263157894736843,5.0,10.52
vidskiptajofnudur,6,3,3.5333333333333337,3.713937712635113,3.5333333333333337,3.6,4.7700000000000005
visitala neysluverds,0,35,1.3428571428571427,1.5905075560066622,-0.2114285714285715,1.3,2.8499999999999988
visitala neysluverds,1,32,2.23125,3.327160951922825,0.48750000000000004,1.0499999999999998,8.604999999999999
visitala neysluverds,2,30,2.43,3.2404217832457136,-0.29000000000000004,1.7000000000000002,7.129999999999987
visitala neysluverds,3,28,3.060714285714286,3.908461516833884,-0.37500000000000006,2.1499999999999995,9.129999999999999
visitala neysluverds,4,25,2.824,3.6202762325546374,-0.7040000000000001,1.9,8.319999999999986
visitala neysluverds,5,19,2.610526315789474,2.844940106667681,-1.5894736842105264,2.4,4.52
visitala neysluverds,6,3,3.1666666666666665,3.2109188716004646,-1.0333333333333334,3.2,3.74
vlf a verdlagi hvers ars,0,29,3.2198965517241382,7.672551751491179,-0.4126551724137929,0.12199999999999989,17.305399999999995
vlf a verdlagi hvers ars,1,26,7.0220769230769235,14.360952957452156,6.601384615384616,0.3849999999999998,40.05
vlf a verdlagi hvers ars,2,24,7.097458333333335,16.22343612776488,5.557291666666668,0.5674999999999999,43.76499999999999
vlf a verdlagi hvers ars,3,22,1.7593636363636365,2.7689599294516865,-0.7878181818181816,0.7270000000000001,5.616
vlf a verdlagi hvers ars,4,19,1.4824210526315789,2.2548828187548433,-1.1826315789473683,0.9510000000000001,4.892399999999998
vlf a verdlagi hvers ars,5,13,1.0031538461538458,1.5125800423830085,-1.0031538461538458,0.7809999999999997,2.684399999999995
vlf a verdlagi hvers ars,6,3,0.8256666666666667,0.8317605825396311,-0.8256666666666667,0.7749999999999999,0.9469000000000002
voru- og thjonustujofnudur,0,34,1.6205882352941179,3.0347497231819527,-0.6323529411764706,1.1500000000000001,2.544999999999999
voru- og thjonustujofnudur,1,31,2.109677419354839,2.9423492917800758,-0.30322580645161296,1.9,3.6
voru- og thjonustujofnudur,2,29,2.2655172413793103,3.5651086939951773,-0.24482758620689657,1.7000000000000002,4.139999999999999
voru- og thjonustujofnudur,3,27,2.4222222222222225,3.4462002693250864,1.02962962962963,1.6000000000000005,6.069999999999999
voru- og thjonustujofnudur,4,24,2.6833333333333336,4.0054130040900064,1.5166666666666666,1.3000000000000003,7.079999999999998
voru- og thjonustujofnudur,5,18,3.5555555555555554,4.342426357080413,2.3555555555555556,2.7,7.399999999999994
voru- og thjonustujofnudur,6,3,3.5,3.645545226711637,3.5,3.1,4.72
